Plant,LaneNumber,SampleNumber,Stress,SampleType,SPC,SPCgrowthlvl,CVTA,CVTAgrowthlvl,PPC
1,1,1,yes,milk,pos,heavy,neg,,no
1,1,2,yes,milk,pos,heavy,neg,,no
1,1,3,yes,milk,pos,heavy,neg,,no
1,1,4,yes,milk,pos,heavy,neg,,no
1,1,5,yes,milk,pos,heavy,neg,,no
1,1,6,yes,milk,pos,heavy,neg,,no
1,2,1,yes,milk,pos,med,neg,,no
1,2,2,yes,milk,pos,heavy,neg,,no
1,2,3,yes,milk,pos,heavy,neg,,no
1,2,4,yes,milk,pos,heavy,neg,,no
1,2,5,yes,milk,pos,heavy,neg,,no
1,2,6,yes,milk,pos,med,neg,,no
1,3,1,yes,milk,pos,med,neg,,no
1,3,2,yes,milk,pos,heavy,neg,,no
1,3,3,yes,milk,pos,heavy,neg,,no
1,3,4,yes,milk,pos,heavy,neg,,no
1,3,5,yes,milk,pos,heavy,pos,heavy,yes
1,3,6,yes,milk,pos,heavy,pos,low,yes
1,4,1,yes,milk,pos,heavy,neg,,no
1,4,2,yes,milk,pos,heavy,neg,,no
1,4,3,yes,milk,pos,med,neg,,no
1,4,4,yes,milk,pos,heavy,neg,,no
1,4,5,yes,milk,pos,heavy,neg,,no
1,4,6,yes,milk,pos,heavy,neg,,no
1,1,1,yes,sponge,pos,heavy,pos,heavy,yes
1,1,2,yes,sponge,pos,heavy,pos,heavy,yes
1,1,3,yes,sponge,pos,heavy,pos,heavy,yes
1,1,4,yes,sponge,pos,heavy,pos,med,yes
1,1,5,yes,sponge,pos,heavy,pos,heavy,yes
1,1,6,yes,sponge,pos,med,pos,heavy,yes
1,2,1,yes,sponge,pos,heavy,pos,heavy,yes
1,2,2,yes,sponge,pos,heavy,pos,heavy,yes
1,2,3,yes,sponge,pos,med,pos,med,yes
1,2,4,yes,sponge,pos,heavy,pos,heavy,yes
1,2,5,yes,sponge,pos,heavy,pos,heavy,yes
1,2,6,yes,sponge,pos,med,pos,med,yes
1,3,1,yes,sponge,pos,med,pos,med,yes
1,3,2,yes,sponge,pos,low,pos,low,yes
1,3,3,yes,sponge,pos,heavy,pos,heavy,yes
1,3,4,yes,sponge,pos,heavy,pos,heavy,yes
1,3,5,yes,sponge,pos,med,pos,med,yes
1,3,6,yes,sponge,pos,med,pos,med,yes
1,4,1,yes,sponge,pos,heavy,pos,heavy,yes
1,4,2,yes,sponge,pos,heavy,pos,heavy,yes
1,4,3,yes,sponge,pos,heavy,pos,heavy,yes
1,4,4,yes,sponge,pos,heavy,pos,heavy,yes
1,4,5,yes,sponge,pos,heavy,pos,heavy,yes
1,4,6,yes,sponge,pos,heavy,pos,heavy,yes
1,1,1,yes,carton,pos,low,neg,,no
1,1,2,yes,carton,neg,,neg,,no
1,1,3,yes,carton,neg,,neg,,no
1,1,4,yes,carton,neg,,neg,,no
1,1,5,yes,carton,neg,,neg,,no
1,1,6,yes,carton,neg,,neg,,no
1,2,1,yes,carton,neg,,neg,,no
1,2,2,yes,carton,neg,,neg,,no
1,2,3,yes,carton,pos,low,neg,,no
1,2,4,yes,carton,neg,,neg,,no
1,2,5,yes,carton,neg,,neg,,no
1,2,6,yes,carton,neg,,neg,,no
1,3,1,yes,carton,neg,,neg,,no
1,3,2,yes,carton,neg,,neg,,no
1,3,3,yes,carton,neg,,neg,,no
1,3,4,yes,carton,neg,,neg,,no
1,3,5,yes,carton,neg,,neg,,no
1,3,6,yes,carton,neg,,neg,,no
1,4,1,yes,carton,neg,,neg,,no
1,4,2,yes,carton,neg,,neg,,no
1,4,3,yes,carton,pos,med,pos,med,yes
1,4,4,yes,carton,neg,,neg,,no
1,4,5,yes,carton,pos,low,neg,,no
1,4,6,yes,carton,neg,,neg,,no
1,,,yes,mandrelhub,pos,heavy,pos,heavy,yes
1,,,yes,mandrelhub,pos,low,pos,low,yes
2,1,1,yes,milk,pos,heavy,pos,low,yes
2,1,2,yes,milk,pos,heavy,pos,low,yes
2,1,3,yes,milk,pos,heavy,neg,,no
2,1,4,yes,milk,pos,heavy,neg,,no
2,1,5,yes,milk,pos,heavy,pos,low,yes
2,1,6,yes,milk,pos,heavy,pos,low,yes
2,2,1,yes,milk,pos,heavy,pos,low,yes
2,2,2,yes,milk,pos,heavy,pos,low,yes
2,2,3,yes,milk,pos,heavy,neg,,no
2,2,4,yes,milk,pos,heavy,pos,low,yes
2,2,5,yes,milk,pos,heavy,pos,low,yes
2,2,6,yes,milk,pos,heavy,pos,low,yes
2,3,1,yes,milk,pos,heavy,neg,,no
2,3,2,yes,milk,pos,heavy,pos,low,yes
2,3,3,yes,milk,pos,heavy,neg,,no
2,3,4,yes,milk,pos,heavy,pos,low,yes
2,3,5,yes,milk,pos,heavy,pos,low,yes
2,3,6,yes,milk,pos,heavy,pos,low,yes
2,4,1,yes,milk,pos,heavy,neg,,no
2,4,2,yes,milk,pos,heavy,pos,low,yes
2,4,3,yes,milk,pos,heavy,pos,low,yes
2,4,4,yes,milk,pos,heavy,pos,low,yes
2,4,5,yes,milk,pos,heavy,pos,low,yes
2,4,6,yes,milk,pos,heavy,pos,low,yes
2,1,1,yes,sponge,pos,low,pos,low,yes
2,1,2,yes,sponge,pos,low,neg,,no
2,1,3,yes,sponge,pos,heavy,pos,med,yes
2,1,4,yes,sponge,pos,med,pos,med,yes
2,1,5,yes,sponge,pos,med,pos,low,yes
2,1,6,yes,sponge,pos,med,neg,,no
2,2,1,yes,sponge,pos,low,neg,,no
2,2,2,yes,sponge,pos,heavy,pos,low,yes
2,2,3,yes,sponge,pos,heavy,neg,,no
2,2,4,yes,sponge,pos,low,neg,,no
2,2,5,yes,sponge,pos,heavy,pos,med,yes
2,2,6,yes,sponge,pos,low,neg,,no
2,3,1,yes,sponge,pos,med,pos,low,yes
2,3,2,yes,sponge,pos,heavy,neg,,no
2,3,3,yes,sponge,pos,heavy,neg,,no
2,3,4,yes,sponge,pos,heavy,neg,,no
2,3,5,yes,sponge,pos,heavy,pos,low,yes
2,3,6,yes,sponge,pos,low,pos,low,yes
2,4,1,yes,sponge,pos,heavy,pos,heavy,yes
2,4,2,yes,sponge,pos,heavy,pos,med,yes
2,4,3,yes,sponge,pos,heavy,pos,med,yes
2,4,4,yes,sponge,pos,low,pos,low,yes
2,4,5,yes,sponge,pos,low,neg,,no
2,4,6,yes,sponge,pos,low,neg,,no
2,1,1,yes,carton,pos,low,neg,,no
2,1,2,yes,carton,neg,,neg,,no
2,1,3,yes,carton,pos,low,neg,,no
2,1,4,yes,carton,neg,,neg,,no
2,1,5,yes,carton,pos,low,neg,,no
2,1,6,yes,carton,pos,med,pos,med,yes
2,2,1,yes,carton,neg,,neg,,no
2,2,2,yes,carton,neg,,neg,,no
2,2,3,yes,carton,neg,,neg,,no
2,2,4,yes,carton,pos,med,pos,med,yes
2,2,5,yes,carton,neg,,neg,,no
2,2,6,yes,carton,pos,low,neg,,no
2,3,1,yes,carton,neg,,neg,,no
2,3,2,yes,carton,neg,,neg,,no
2,3,3,yes,carton,neg,,neg,,no
2,3,4,yes,carton,neg,,neg,,no
2,3,5,yes,carton,neg,,neg,,no
2,3,6,yes,carton,neg,,neg,,no
2,4,1,yes,carton,pos,low,neg,,no
2,4,2,yes,carton,neg,,neg,,no
2,4,3,yes,carton,pos,med,neg,,no
2,4,4,yes,carton,neg,,neg,,no
2,4,5,yes,carton,neg,,neg,,no
2,4,6,yes,carton,neg,,neg,,no
2,,,yes,mandrelhub,pos,low,neg,,no
3,1,1,yes,milk,pos,heavy,pos,heavy,yes
3,1,2,yes,milk,pos,heavy,pos,heavy,yes
3,1,3,yes,milk,pos,heavy,pos,heavy,yes
3,1,4,yes,milk,pos,heavy,pos,heavy,yes
3,1,5,yes,milk,pos,heavy,pos,heavy,yes
3,1,6,yes,milk,pos,heavy,pos,heavy,yes
3,2,1,yes,milk,pos,heavy,pos,heavy,yes
3,2,2,yes,milk,pos,heavy,pos,heavy,yes
3,2,3,yes,milk,pos,heavy,pos,heavy,yes
3,2,4,yes,milk,pos,heavy,pos,heavy,yes
3,2,5,yes,milk,pos,heavy,pos,heavy,yes
3,2,6,yes,milk,pos,heavy,pos,heavy,yes
3,3,1,yes,milk,pos,heavy,pos,heavy,yes
3,3,2,yes,milk,pos,heavy,pos,heavy,yes
3,3,3,yes,milk,pos,heavy,pos,heavy,yes
3,3,4,yes,milk,pos,heavy,pos,heavy,yes
3,3,5,yes,milk,pos,heavy,pos,heavy,yes
3,3,6,yes,milk,pos,heavy,pos,heavy,yes
3,4,1,yes,milk,pos,heavy,pos,heavy,yes
3,4,2,yes,milk,pos,heavy,pos,heavy,yes
3,4,3,yes,milk,pos,heavy,pos,heavy,yes
3,4,4,yes,milk,pos,heavy,pos,heavy,yes
3,4,5,yes,milk,pos,heavy,pos,heavy,yes
3,4,6,yes,milk,pos,heavy,pos,heavy,yes
3,1,1,yes,sponge,pos,low,pos,low,yes
3,1,2,yes,sponge,pos,med,pos,med,yes
3,1,3,yes,sponge,pos,med,pos,med,yes
3,1,4,yes,sponge,pos,low,pos,low,yes
3,1,5,yes,sponge,pos,med,pos,med,yes
3,1,6,yes,sponge,pos,med,pos,med,yes
3,2,1,yes,sponge,pos,heavy,pos,heavy,yes
3,2,2,yes,sponge,pos,heavy,pos,heavy,yes
3,2,3,yes,sponge,pos,med,pos,med,yes
3,2,4,yes,sponge,pos,heavy,pos,heavy,yes
3,2,5,yes,sponge,pos,heavy,pos,heavy,yes
3,2,6,yes,sponge,pos,heavy,pos,heavy,yes
3,3,1,yes,sponge,pos,heavy,pos,heavy,yes
3,3,2,yes,sponge,neg,,neg,,no
3,3,3,yes,sponge,pos,med,pos,low,yes
3,3,4,yes,sponge,pos,heavy,pos,heavy,yes
3,3,5,yes,sponge,pos,heavy,pos,heavy,yes
3,3,6,yes,sponge,pos,heavy,pos,heavy,yes
3,4,1,yes,sponge,pos,low,pos,low,yes
3,4,2,yes,sponge,pos,low,pos,low,yes
3,4,3,yes,sponge,pos,med,pos,low,yes
3,4,4,yes,sponge,neg,,neg,,no
3,4,5,yes,sponge,pos,low,pos,low,yes
3,4,6,yes,sponge,neg,,neg,,no
3,1,1,yes,carton,pos,low,neg,,no
3,1,2,yes,carton,pos,heavy,pos,med,yes
3,1,3,yes,carton,pos,med,neg,,no
3,1,4,yes,carton,pos,med,neg,,no
3,1,5,yes,carton,pos,med,neg,,no
3,1,6,yes,carton,pos,med,neg,,no
3,2,1,yes,carton,pos,heavy,neg,,no
3,2,2,yes,carton,pos,low,neg,,no
3,2,3,yes,carton,pos,med,neg,,no
3,2,4,yes,carton,pos,med,neg,,no
3,2,5,yes,carton,pos,med,neg,,no
3,2,6,yes,carton,pos,heavy,pos,low,yes
3,3,1,yes,carton,pos,low,neg,,no
3,3,2,yes,carton,pos,heavy,pos,heavy,yes
3,3,3,yes,carton,pos,heavy,pos,heavy,yes
3,3,4,yes,carton,pos,heavy,pos,heavy,yes
3,3,5,yes,carton,pos,heavy,pos,heavy,yes
3,3,6,yes,carton,pos,med,neg,,no
3,4,1,yes,carton,pos,low,neg,,no
3,4,2,yes,carton,pos,low,neg,,no
3,4,3,yes,carton,pos,med,neg,,no
3,4,4,yes,carton,pos,low,pos,low,yes
3,4,5,yes,carton,pos,heavy,pos,heavy,yes
3,4,6,yes,carton,pos,med,pos,med,yes
4,1,1,yes,milk,pos,med,neg,,no
4,1,2,yes,milk,pos,med,neg,,no
4,1,3,yes,milk,pos,heavy,neg,,no
4,1,4,yes,milk,pos,med,neg,,no
4,1,5,yes,milk,pos,low,pos,low,yes
4,1,6,yes,milk,pos,med,neg,,no
4,2,1,yes,milk,pos,med,neg,,no
4,2,2,yes,milk,pos,med,neg,,no
4,2,3,yes,milk,pos,heavy,neg,,no
4,2,4,yes,milk,pos,heavy,neg,,no
4,2,5,yes,milk,pos,heavy,neg,,no
4,2,6,yes,milk,pos,med,neg,,no
4,3,1,yes,milk,pos,heavy,neg,,no
4,3,2,yes,milk,pos,med,neg,,no
4,3,3,yes,milk,pos,med,neg,,no
4,3,4,yes,milk,pos,med,neg,,no
4,3,5,yes,milk,pos,med,neg,,no
4,3,6,yes,milk,pos,med,neg,,no
4,4,1,yes,milk,pos,med,pos,med,yes
4,4,2,yes,milk,pos,med,neg,,no
4,4,3,yes,milk,pos,heavy,neg,,no
4,4,4,yes,milk,pos,med,neg,,no
4,4,5,yes,milk,pos,heavy,pos,low,yes
4,4,6,yes,milk,pos,med,neg,,no
4,1,1,yes,sponge,neg,,neg,,no
4,1,2,yes,sponge,pos,med,pos,med,yes
4,1,3,yes,sponge,pos,low,neg,,no
4,1,4,yes,sponge,neg,,neg,,no
4,1,5,yes,sponge,neg,,neg,,no
4,1,6,yes,sponge,neg,,neg,,no
4,2,1,yes,sponge,pos,med,pos,med,yes
4,2,2,yes,sponge,pos,med,neg,,no
4,2,3,yes,sponge,pos,med,pos,med,yes
4,2,4,yes,sponge,pos,low,neg,,no
4,2,5,yes,sponge,pos,med,neg,,no
4,2,6,yes,sponge,pos,low,neg,,no
4,3,1,yes,sponge,pos,med,neg,,no
4,3,2,yes,sponge,pos,med,neg,,no
4,3,3,yes,sponge,pos,med,neg,,no
4,3,4,yes,sponge,pos,med,neg,,no
4,3,5,yes,sponge,pos,low,pos,heavy,yes
4,3,6,yes,sponge,pos,med,neg,,no
4,4,1,yes,sponge,pos,heavy,pos,heavy,yes
4,4,2,yes,sponge,pos,low,neg,,no
4,4,3,yes,sponge,pos,heavy,pos,heavy,yes
4,4,4,yes,sponge,pos,low,neg,,no
4,4,5,yes,sponge,pos,med,neg,,no
4,4,6,yes,sponge,pos,med,neg,,no
4,1,1,yes,carton,neg,,neg,,no
4,1,2,yes,carton,neg,,neg,,no
4,1,3,yes,carton,neg,,neg,,no
4,1,4,yes,carton,neg,,neg,,no
4,1,5,yes,carton,neg,,neg,,no
4,1,6,yes,carton,neg,,pos,low,no
4,2,1,yes,carton,neg,,neg,,no
4,2,2,yes,carton,neg,,neg,,no
4,2,3,yes,carton,neg,,neg,,no
4,2,4,yes,carton,neg,,neg,,no
4,2,5,yes,carton,neg,,neg,,no
4,2,6,yes,carton,neg,,neg,,no
4,3,1,yes,carton,neg,,neg,,no
4,3,2,yes,carton,neg,,neg,,no
4,3,3,yes,carton,neg,,neg,,no
4,3,4,yes,carton,neg,,neg,,no
4,3,5,yes,carton,neg,,neg,,no
4,3,6,yes,carton,neg,,neg,,no
4,4,1,yes,carton,neg,,neg,,no
4,4,2,yes,carton,pos,low,neg,,no
4,4,3,yes,carton,neg,,neg,,no
4,4,4,yes,carton,neg,,neg,,no
4,4,5,yes,carton,neg,,neg,,no
4,4,6,yes,carton,neg,,neg,,no
4,,,yes,mandrelhub,pos,heavy,pos,heavy,yes
4,,,yes,mandrelhub,pos,heavy,pos,heavy,yes
4,,,yes,mandrelgreasetray,pos,heavy,pos,heavy,yes
1,1,1,no,milk,pos,100,neg,,no
1,1,2,no,milk,pos,100,neg,,no
1,1,3,no,milk,pos,80,neg,,no
1,1,4,no,milk,pos,160,neg,,no
1,1,5,no,milk,pos,60,neg,,no
1,1,6,no,milk,neg,,neg,,no
1,2,1,no,milk,pos,80,neg,,no
1,2,2,no,milk,pos,100,neg,,no
1,2,3,no,milk,pos,140,neg,,no
1,2,4,no,milk,pos,100,neg,,no
1,2,5,no,milk,pos,100,neg,,no
1,2,6,no,milk,neg,,neg,,no
1,3,1,no,milk,pos,140,neg,,no
1,3,2,no,milk,pos,100,neg,,no
1,3,3,no,milk,pos,60,neg,,no
1,3,4,no,milk,pos,80,neg,,no
1,3,5,no,milk,pos,80,neg,,no
1,3,6,no,milk,neg,,neg,,no
1,4,1,no,milk,pos,40,neg,,no
1,4,2,no,milk,pos,100,neg,,no
1,4,3,no,milk,pos,80,neg,,no
1,4,4,no,milk,pos,160,neg,,no
1,4,5,no,milk,pos,140,neg,,no
1,4,6,no,milk,pos,220,neg,,no
1,1,1,no,sponge,neg,,neg,,no
1,1,2,no,sponge,pos,20,neg,,no
1,1,3,no,sponge,pos,20,neg,,no
1,1,4,no,sponge,pos,20,neg,,no
1,1,5,no,sponge,neg,,neg,,no
1,1,6,no,sponge,neg,,neg,,no
1,2,1,no,sponge,neg,,neg,,no
1,2,2,no,sponge,neg,,neg,,no
1,2,3,no,sponge,neg,,neg,,no
1,2,4,no,sponge,neg,,neg,,no
1,2,5,no,sponge,neg,,neg,,no
1,2,6,no,sponge,neg,,neg,,no
1,3,1,no,sponge,neg,,neg,,no
1,3,2,no,sponge,neg,,neg,,no
1,3,3,no,sponge,neg,,neg,,no
1,3,4,no,sponge,neg,,neg,,no
1,3,5,no,sponge,neg,,neg,,no
1,3,6,no,sponge,neg,,neg,,no
1,4,1,no,sponge,neg,,neg,,no
1,4,2,no,sponge,neg,,pos,20,no
1,4,3,no,sponge,pos,360,neg,,no
1,4,4,no,sponge,pos,120,neg,,no
1,4,5,no,sponge,neg,,neg,,no
1,4,6,no,sponge,neg,,neg,,no
1,1,1,no,carton,neg,,neg,,no
1,1,2,no,carton,neg,,neg,,no
1,1,3,no,carton,neg,,neg,,no
1,1,4,no,carton,neg,,neg,,no
1,1,5,no,carton,neg,,neg,,no
1,1,6,no,carton,neg,,neg,,no
1,2,1,no,carton,neg,,neg,,no
1,2,2,no,carton,neg,,neg,,no
1,2,3,no,carton,neg,,neg,,no
1,2,4,no,carton,neg,,neg,,no
1,2,5,no,carton,neg,,neg,,no
1,2,6,no,carton,neg,,neg,,no
1,3,1,no,carton,neg,,neg,,no
1,3,2,no,carton,neg,,neg,,no
1,3,3,no,carton,neg,,neg,,no
1,3,4,no,carton,neg,,neg,,no
1,3,5,no,carton,neg,,neg,,no
1,3,6,no,carton,neg,,neg,,no
1,4,1,no,carton,neg,,neg,,no
1,4,2,no,carton,neg,,neg,,no
1,4,3,no,carton,pos,20,neg,,no
1,4,4,no,carton,neg,,neg,,no
1,4,5,no,carton,neg,,neg,,no
1,4,6,no,carton,neg,,neg,,no
2,1,1,no,milk,pos,60,neg,,no
2,1,2,no,milk,pos,100,neg,,no
2,1,3,no,milk,pos,60,neg,,no
2,1,4,no,milk,pos,180,neg,,no
2,1,5,no,milk,neg,,neg,,no
2,1,6,no,milk,neg,,neg,,no
2,2,1,no,milk,pos,100,neg,,no
2,2,2,no,milk,pos,120,neg,,no
2,2,3,no,milk,pos,20,neg,,no
2,2,4,no,milk,pos,120,neg,,no
2,2,5,no,milk,pos,40,neg,,no
2,2,6,no,milk,pos,120,neg,,no
2,3,1,no,milk,pos,20,neg,,no
2,3,2,no,milk,pos,120,neg,,no
2,3,3,no,milk,pos,220,neg,,no
2,3,4,no,milk,pos,140,neg,,no
2,3,5,no,milk,pos,260,neg,,no
2,3,6,no,milk,neg,,neg,,no
2,4,1,no,milk,pos,100,neg,,no
2,4,2,no,milk,pos,20,neg,,no
2,4,3,no,milk,pos,160,neg,,no
2,4,4,no,milk,pos,260,neg,,no
2,4,5,no,milk,pos,80,neg,,no
2,4,6,no,milk,neg,,neg,,no
2,1,1,no,sponge,neg,,neg,,no
2,1,2,no,sponge,neg,,neg,,no
2,1,3,no,sponge,neg,,neg,,no
2,1,4,no,sponge,pos,20,neg,,no
2,1,5,no,sponge,neg,,neg,,no
2,1,6,no,sponge,pos,60,neg,,no
2,2,1,no,sponge,neg,,neg,,no
2,2,2,no,sponge,pos,60,neg,,no
2,2,3,no,sponge,neg,,neg,,no
2,2,4,no,sponge,neg,,neg,,no
2,2,5,no,sponge,pos,40,neg,,no
2,2,6,no,sponge,neg,,neg,,no
2,3,1,no,sponge,neg,,neg,,no
2,3,2,no,sponge,pos,40,neg,,no
2,3,3,no,sponge,pos,60,neg,,no
2,3,4,no,sponge,neg,,neg,,no
2,3,5,no,sponge,pos,140,neg,,no
2,3,6,no,sponge,neg,,neg,,no
2,4,1,no,sponge,neg,,neg,,no
2,4,2,no,sponge,neg,,neg,,no
2,4,3,no,sponge,neg,,neg,,no
2,4,4,no,sponge,neg,,neg,,no
2,4,5,no,sponge,neg,,neg,,no
2,4,6,no,sponge,neg,,neg,,no
2,1,1,no,carton,neg,,neg,,no
2,1,2,no,carton,neg,,neg,,no
2,1,3,no,carton,neg,,neg,,no
2,1,4,no,carton,neg,,neg,,no
2,1,5,no,carton,neg,,neg,,no
2,1,6,no,carton,neg,,neg,,no
2,2,1,no,carton,neg,,neg,,no
2,2,2,no,carton,neg,,neg,,no
2,2,3,no,carton,neg,,neg,,no
2,2,4,no,carton,neg,,neg,,no
2,2,5,no,carton,neg,,neg,,no
2,2,6,no,carton,neg,,neg,,no
2,3,1,no,carton,neg,,neg,,no
2,3,2,no,carton,neg,,neg,,no
2,3,3,no,carton,neg,,neg,,no
2,3,4,no,carton,neg,,neg,,no
2,3,5,no,carton,neg,,neg,,no
2,3,6,no,carton,neg,,neg,,no
2,4,1,no,carton,neg,,neg,,no
2,4,2,no,carton,neg,,neg,,no
2,4,3,no,carton,neg,,neg,,no
2,4,4,no,carton,neg,,neg,,no
2,4,5,no,carton,neg,,neg,,no
2,4,6,no,carton,neg,,neg,,no
3,1,1,no,milk,pos,100,neg,,no
3,1,2,no,milk,pos,120,neg,,no
3,1,3,no,milk,pos,180,neg,,no
3,1,4,no,milk,pos,240,neg,,no
3,1,5,no,milk,pos,280,neg,,no
3,1,6,no,milk,pos,120,pos,20,yes
3,2,1,no,milk,pos,160,neg,,no
3,2,2,no,milk,pos,260,pos,20,yes
3,2,3,no,milk,pos,200,neg,,no
3,2,4,no,milk,pos,320,neg,,no
3,2,5,no,milk,pos,180,neg,,no
3,2,6,no,milk,pos,260,neg,,no
3,3,1,no,milk,pos,140,pos,20,yes
3,3,2,no,milk,pos,200,pos,200,yes
3,3,3,no,milk,pos,240,pos,20,yes
3,3,4,no,milk,pos,160,neg,,no
3,3,5,no,milk,pos,160,neg,,no
3,3,6,no,milk,pos,320,pos,20,yes
3,4,1,no,milk,pos,180,neg,,no
3,4,2,no,milk,pos,220,pos,40,yes
3,4,3,no,milk,pos,240,neg,,no
3,4,4,no,milk,pos,320,neg,,no
3,4,5,no,milk,pos,260,neg,,no
3,4,6,no,milk,pos,240,neg,,no
3,1,1,no,sponge,neg,,neg,,no
3,1,2,no,sponge,neg,,neg,,no
3,1,3,no,sponge,neg,,neg,,no
3,1,4,no,sponge,neg,,neg,,no
3,1,5,no,sponge,neg,,neg,,no
3,1,6,no,sponge,neg,,neg,,no
3,2,1,no,sponge,pos,140,pos,60,yes
3,2,2,no,sponge,neg,,neg,,no
3,2,3,no,sponge,neg,,neg,,no
3,2,4,no,sponge,pos,40,pos,60,yes
3,2,5,no,sponge,pos,400,pos,240,yes
3,2,6,no,sponge,pos,300,pos,60,yes
3,3,1,no,sponge,neg,,neg,,no
3,3,2,no,sponge,neg,,neg,,no
3,3,3,no,sponge,neg,,neg,,no
3,3,4,no,sponge,neg,,neg,,no
3,3,5,no,sponge,neg,,neg,,no
3,3,6,no,sponge,neg,,neg,,no
3,4,1,no,sponge,neg,,neg,,no
3,4,2,no,sponge,neg,,neg,,no
3,4,3,no,sponge,neg,,neg,,no
3,4,4,no,sponge,neg,,neg,,no
3,4,5,no,sponge,neg,,neg,,no
3,4,6,no,sponge,neg,,neg,,no
3,1,1,no,carton,neg,,neg,,no
3,1,2,no,carton,pos,220,neg,,no
3,1,3,no,carton,pos,20,neg,,no
3,1,4,no,carton,neg,,neg,,no
3,1,5,no,carton,neg,,neg,,no
3,1,6,no,carton,neg,,neg,,no
3,2,1,no,carton,pos,20,neg,,no
3,2,2,no,carton,neg,,neg,,no
3,2,3,no,carton,neg,,neg,,no
3,2,4,no,carton,neg,,neg,,no
3,2,5,no,carton,neg,,neg,,no
3,2,6,no,carton,neg,,neg,,no
3,3,1,no,carton,neg,,neg,,no
3,3,2,no,carton,pos,160,pos,140,yes
3,3,3,no,carton,pos,140,neg,,no
3,3,4,no,carton,pos,40,neg,,no
3,3,5,no,carton,pos,40,pos,20,yes
3,3,6,no,carton,neg,,neg,,no
3,4,1,no,carton,neg,,neg,,no
3,4,2,no,carton,neg,,neg,,no
3,4,3,no,carton,neg,,neg,,no
3,4,4,no,carton,neg,,neg,,no
3,4,5,no,carton,neg,,neg,,no
3,4,6,no,carton,neg,,neg,,no
4,1,1,no,milk,neg,,neg,,no
4,1,2,no,milk,neg,,neg,,no
4,1,3,no,milk,neg,,neg,,no
4,1,4,no,milk,neg,,neg,,no
4,1,5,no,milk,neg,,neg,,no
4,1,6,no,milk,pos,20,neg,,no
4,2,1,no,milk,pos,20,neg,,no
4,2,2,no,milk,neg,,neg,,no
4,2,3,no,milk,neg,,neg,,no
4,2,4,no,milk,neg,,neg,,no
4,2,5,no,milk,neg,,neg,,no
4,2,6,no,milk,neg,,neg,,no
4,3,1,no,milk,neg,,neg,,no
4,3,2,no,milk,neg,,neg,,no
4,3,3,no,milk,neg,,neg,,no
4,3,4,no,milk,neg,,neg,,no
4,3,5,no,milk,pos,20,neg,,no
4,3,6,no,milk,neg,,neg,,no
4,4,1,no,milk,neg,,neg,,no
4,4,2,no,milk,neg,,neg,,no
4,4,3,no,milk,pos,20,neg,,no
4,4,4,no,milk,neg,,neg,,no
4,4,5,no,milk,pos,20,neg,,no
4,4,6,no,milk,pos,20,neg,,no
4,1,1,no,sponge,neg,,neg,,no
4,1,2,no,sponge,neg,,neg,,no
4,1,3,no,sponge,neg,,neg,,no
4,1,4,no,sponge,neg,,neg,,no
4,1,5,no,sponge,neg,,neg,,no
4,1,6,no,sponge,neg,,neg,,no
4,2,1,no,sponge,neg,,neg,,no
4,2,2,no,sponge,neg,,neg,,no
4,2,3,no,sponge,neg,,neg,,no
4,2,4,no,sponge,neg,,neg,,no
4,2,5,no,sponge,neg,,neg,,no
4,2,6,no,sponge,neg,,neg,,no
4,3,1,no,sponge,neg,,neg,,no
4,3,2,no,sponge,neg,,neg,,no
4,3,3,no,sponge,pos,20,neg,,no
4,3,4,no,sponge,pos,20,neg,,no
4,3,5,no,sponge,neg,,neg,,no
4,3,6,no,sponge,neg,,neg,,no
4,4,1,no,sponge,pos,80,neg,,no
4,4,2,no,sponge,pos,20,neg,,no
4,4,3,no,sponge,pos,480,neg,,no
4,4,4,no,sponge,neg,,neg,,no
4,4,5,no,sponge,neg,,neg,,no
4,4,6,no,sponge,pos,20,neg,,no
4,1,1,no,carton,neg,,neg,,no
4,1,2,no,carton,neg,,neg,,no
4,1,3,no,carton,neg,,neg,,no
4,1,4,no,carton,neg,,neg,,no
4,1,5,no,carton,neg,,neg,,no
4,1,6,no,carton,neg,,neg,,no
4,2,1,no,carton,neg,,neg,,no
4,2,2,no,carton,neg,,neg,,no
4,2,3,no,carton,neg,,neg,,no
4,2,4,no,carton,neg,,neg,,no
4,2,5,no,carton,neg,,neg,,no
4,2,6,no,carton,neg,,neg,,no
4,3,1,no,carton,neg,,neg,,no
4,3,2,no,carton,neg,,neg,,no
4,3,3,no,carton,neg,,neg,,no
4,3,4,no,carton,neg,,neg,,no
4,3,5,no,carton,neg,,neg,,no
4,3,6,no,carton,neg,,neg,,no
4,4,1,no,carton,neg,,neg,,no
4,4,2,no,carton,neg,,neg,,no
4,4,3,no,carton,neg,,neg,,no
4,4,4,no,carton,neg,,neg,,no
4,4,5,no,carton,neg,,neg,,no
4,4,6,no,carton,neg,,neg,,no
