FSL,Lane,Intervention,FacilityNumber,SampleType,MilkTypeSpec,MilkType,TimePoint,Stress,PlateType,Class,Order,Family,Genus,Species
FSL L8-1177,1,,4,Milk,,,,yes,SPC,,,,Lysinibacillus,sp.
FSL L8-1178,1,,4,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1179,1,,4,Milk,,,,yes,SPC,,,,Lysinibacillus,sp.
FSL L8-1180,1,,4,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1181,1,,4,Milk,,,,yes,SPC,Bacilli,,,,
FSL L8-1182,1,,4,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1183,1,,4,Milk,,,,yes,SPC,,,,Lysinibacillus,sp.
FSL L8-1184,1,,4,Milk,,,,yes,SPC,,,,Lysinibacillus,sp.
FSL L8-1185,1,,4,Milk,,,,yes,SPC,Bacilli,,,,
FSL L8-1186,1,,4,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1187,1,,4,Milk,,,,yes,SPC,,,,Paenibacillus,sp.
FSL L8-1188,1,,4,Milk,,,,yes,SPC,,,,,
FSL L8-1189,1,,4,Milk,,,,yes,SPC,,,,Lysinibacillus,sp.
FSL L8-1190,1,,4,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1191,1,,4,Milk,,,,yes,CVTA,,,,Pseudomonas,sp.
FSL L8-1192,1,,4,Milk,,,,yes,SPC,Bacilli,,,,
FSL L8-1193,1,,4,Milk,,,,yes,SPC,Bacilli,,,,
FSL L8-1194,1,,4,Milk,,,,yes,SPC,Bacilli,,,,
FSL L8-1195,1,,4,Sponge,,,,yes,CVTA,,,,Pseudomonas,sp.
FSL L8-1196,1,,4,Sponge,,,,yes,SPC,,,,Pseudomonas,sp.
FSL L8-1197,1,,4,Sponge,,,,no,SPC,,,,Paenibacillus,sp.
FSL L8-1198,1,,4,Carton,,,,yes,CVTA,,,Moraxellaceae,,
FSL L8-1199,2,,4,Milk,,,,yes,SPC,Bacilli,,,,
FSL L8-1200,2,,4,Milk,,,,yes,SPC,,,,Lysinibacillus,sp.
FSL L8-1201,2,,4,Milk,,,,yes,SPC,,,Bacillaceae,,
FSL L8-1202,2,,4,Milk,,,,yes,SPC,,,,Paenibacillus,sp.
FSL L8-1203,2,,4,Milk,,,,yes,SPC,,,,Lysinibacillus,sp.
FSL L8-1204,2,,4,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1205,2,,4,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1206,2,,4,Milk,,,,yes,SPC,Bacilli,,,,
FSL L8-1207,2,,4,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1208,2,,4,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1209,2,,4,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1210,2,,4,Milk,,,,yes,SPC,,,,Lysinibacillus,sp.
FSL L8-1211,2,,4,Milk,,,,yes,SPC,Bacilli,,,,
FSL L8-1212,2,,4,Milk,,,,yes,SPC,,,,Microbacterium,sp.
FSL L8-1213,2,,4,Milk,,,,yes,SPC,,,,Paenibacillus,sp.
FSL L8-1214,2,,4,Milk,,,,yes,SPC,,,,Lysinibacillus,sp.
FSL L8-1215,2,,4,Milk,,,,yes,SPC,,,,Microbacterium,sp.
FSL L8-1216,2,,4,Sponge,,,,yes,CVTA,,,,Pseudomonas,sp.
FSL L8-1217,2,,4,Sponge,,,,yes,SPC,,,,Pseudomonas,sp.
FSL L8-1218,2,,4,Sponge,,,,yes,SPC,,,Bacillaceae,,
FSL L8-1219,2,,4,Sponge,,,,yes,SPC,,,Bacillaceae,,
FSL L8-1220,2,,4,Sponge,,,,yes,CVTA,,,,Pseudomonas,sp.
FSL L8-1221,2,,4,Sponge,,,,yes,SPC,,,Bacillaceae,,
FSL L8-1222,2,,4,Sponge,,,,yes,SPC,,,,Pseudomonas,sp.
FSL L8-1223,2,,4,Sponge,,,,yes,SPC,,,,,
FSL L8-1224,2,,4,Sponge,,,,yes,SPC,,,,Staphylococcus,sp.
FSL L8-1225,2,,4,Sponge,,,,yes,SPC,,,Bacillaceae,,
FSL L8-1226,2,,4,Sponge,,,,yes,SPC,,,,Staphylococcus,sp.
FSL L8-1227,2,,4,Sponge,,,,yes,SPC,,,,Staphylococcus,sp.
FSL L8-1228,3,,4,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1229,3,,4,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1230,3,,4,Milk,,,,yes,SPC,,,,Lysinibacillus,sp.
FSL L8-1231,3,,4,Milk,,,,yes,SPC,,,Bacillaceae,,
FSL L8-1232,3,,4,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1233,3,,4,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1234,3,,4,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1235,3,,4,Milk,,,,yes,SPC,,,,Microbacterium,sp.
FSL L8-1236,3,,4,Milk,,,,yes,SPC,,,,Lysinibacillus,sp.
FSL L8-1237,3,,4,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1238,3,,4,Milk,,,,yes,SPC,,,,Lysinibacillus,sp.
FSL L8-1239,3,,4,Milk,,,,yes,SPC,,,,Paenibacillus,sp.
FSL L8-1240,3,,4,Milk,,,,yes,SPC,,,,Lysinibacillus,sp.
FSL L8-1241,3,,4,Milk,,,,yes,SPC,Bacilli,,,,
FSL L8-1242,3,,4,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1243,3,,4,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1244,3,,4,Sponge,,,,yes,SPC,,,,,
FSL L8-1245,3,,4,Sponge,,,,yes,SPC,,,,,
FSL L8-1246,3,,4,Sponge,,,,yes,SPC,,,,,
FSL L8-1247,3,,4,Sponge,,,,yes,SPC,,,,,
FSL L8-1248,3,,4,Sponge,,,,yes,SPC,,,,,
FSL L8-1249,3,,4,Sponge,,,,yes,CVTA,,,,Pseudomonas,sp.
FSL L8-1250,3,,4,Sponge,,,,yes,SPC,,,,,
FSL L8-1251,3,,4,Sponge,,,,yes,SPC,,,,,
FSL L8-1252,4,,4,Milk,,,,yes,CVTA,,,,Paenibacillus,sp.
FSL L8-1253,4,,4,Milk,,,,yes,CVTA,,,,Acinetobacter,sp.
FSL L8-1254,4,,4,Milk,,,,yes,SPC,,,,Lysinibacillus,sp.
FSL L8-1255,4,,4,Milk,,,,yes,SPC,,,,Acinetobacter,sp.
FSL L8-1256,4,,4,Milk,,,,yes,SPC,,,,Paenibacillus,sp.
FSL L8-1257,4,,4,Milk,,,,yes,SPC,,,Bacillaceae,,
FSL L8-1258,4,,4,Milk,,,,yes,SPC,Bacilli,,,,
FSL L8-1259,4,,4,Milk,,,,yes,SPC,,,,Microbacterium,sp.
FSL L8-1260,4,,4,Milk,,,,yes,SPC,Bacilli,,,,
FSL L8-1261,4,,4,Milk,,,,yes,SPC,,,,Lysinibacillus,sp.
FSL L8-1262,4,,4,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1263,4,,4,Milk,,,,yes,SPC,Bacilli,,,,
FSL L8-1264,4,,4,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1265,4,,4,Milk,,,,yes,SPC,,,,Paenibacillus,sp.
FSL L8-1266,4,,4,Milk,,,,yes,SPC,,,,Microbacterium,sp.
FSL L8-1267,4,,4,Milk,,,,yes,SPC,Bacilli,,,,
FSL L8-1268,4,,4,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1269,4,,4,Milk,,,,yes,SPC,Bacilli,,,,
FSL L8-1270,4,,4,Milk,,,,yes,SPC,,,,,
FSL L8-1271,4,,4,Milk,,,,yes,CVTA,,,,Paenibacillus,sp.
FSL L8-1272,4,,4,Milk,,,,yes,CVTA,,,,Paenibacillus,sp.
FSL L8-1273,4,,4,Milk,,,,yes,SPC,,,,Lysinibacillus,sp.
FSL L8-1274,4,,4,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1275,4,,4,Milk,,,,yes,SPC,Bacilli,,,,
FSL L8-1276,4,,4,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1277,4,,4,Sponge,,,,yes,SPC,,Enterobacterales,,,
FSL L8-1278,4,,4,Sponge,,,,yes,SPC,,,,Acinetobacter,sp.
FSL L8-1279,4,,4,Sponge,,,,yes,CVTA,,,Enterobacteriaceae,,
FSL L8-1280,4,,4,Sponge,,,,yes,SPC,,,,,
FSL L8-1281,4,,4,Sponge,,,,yes,SPC,,,,,
FSL L8-1282,4,,4,Sponge,,,,yes,SPC,,,,,
FSL L8-1283,4,,4,Sponge,,,,yes,SPC,,,,,
FSL L8-1284,4,,4,Sponge,,,,yes,CVTA,,,,Pseudomonas,sp.
FSL L8-1285,4,,4,Sponge,,,,yes,SPC,,,,,
FSL L8-1286,4,,4,Sponge,,,,yes,SPC,,,,Xanthomonas,sp.
FSL L8-1287,4,,4,Sponge,,,,yes,SPC,,,,Pseudomonas,sp.
FSL L8-1288,4,,4,Sponge,,,,yes,SPC,,,,Pseudomonas,sp.
FSL L8-1289,4,,4,Carton,,,,yes,SPC,,,,Pseudomonas,sp.
FSL L8-1290,,,4,MandrelHub,,,,yes,SPC,,,,Acinetobacter,sp.
FSL L8-1291,,,4,MandrelHub,,,,yes,SPC,,,,,
FSL L8-1292,,,4,MandrelHub,,,,yes,CVTA,,,,Acinetobacter,sp.
FSL L8-1293,,,4,MandrelHub,,,,yes,SPC,,,,Pseudomonas,sp.
FSL L8-1294,,,4,MandrelHub,,,,yes,SPC,,,,Pseudomonas,sp.
FSL L8-1295,,,4,MandrelHub,,,,yes,CVTA,,,,Pseudomonas,sp.
FSL L8-1296,,,4,MandrelHub,,,,yes,SPC,,,,Staphylococcus,sp.
FSL L8-1297,,,4,MandrelHub,,,,yes,SPC,,,,Staphylococcus,sp.
FSL L8-1298,,,4,MandrelHub,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1299,1,,4,Milk,,,,no,SPC,,,,Bacillus,sp.
FSL L8-1300,3,,4,Milk,,,,no,SPC,,,,Bacillus,sp.
FSL L8-1301,3,,4,Milk,,,,no,SPC,,,,Bacillus,sp.
FSL L8-1302,3,,4,Sponge,,,,no,SPC,,,,Pseudomonas,sp.
FSL L8-1303,3,,4,Sponge,,,,no,SPC,,,,Pseudomonas,sp.
FSL L8-1304,4,,4,Milk,,,,no,SPC,,,,Bacillus,sp.
FSL L8-1305,4,,4,Milk,,,,no,SPC,,,,Bacillus,sp.
FSL L8-1306,4,,4,Milk,,,,no,SPC,,,,Bacillus,sp.
FSL L8-1307,4,,4,Sponge,,,,no,SPC,,,,Pseudomonas,sp.
FSL L8-1308,4,,4,Sponge,,,,no,SPC,,,,Pseudomonas,sp.
FSL L8-1309,4,,4,Sponge,,,,no,SPC,,,,,
FSL L8-1310,,,4,MandrelHub,,,,no,SPC,,,,Stenotrophomonas,sp.
FSL L8-1311,,,4,MandrelHub,,,,no,SPC,,,,Pseudomonas,sp.
FSL L8-1312,,,4,MandrelHub,,,,no,SPC,,,,Pseudomonas,sp.
FSL L8-1313,,,4,MandrelHub,,,,no,SPC,,,,Staphylococcus,sp.
FSL L8-1314,,,4,MandrelHub,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-1357,1,,2,Milk,,,,yes,CVTA,,,,Paenibacillus,sp.
FSL L8-1358,1,,2,Milk,,,,yes,CVTA,,,,Paenibacillus,sp.
FSL L8-1359,1,,2,Milk,,,,yes,CVTA,,,,Paenibacillus,sp.
FSL L8-1360,1,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1361,1,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1362,1,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1363,1,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1364,1,,2,Milk,,,,yes,SPC,,,,Lysinibacillus,sp.
FSL L8-1365,1,,2,Milk,,,,yes,SPC,,,,,
FSL L8-1366,1,,2,Milk,,,,yes,SPC,,,,,
FSL L8-1367,1,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1368,1,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1369,1,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1370,1,,2,Milk,,,,yes,SPC,,,,Lysinibacillus,sp.
FSL L8-1371,1,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1372,1,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1373,1,,2,Milk,,,,yes,SPC,,,,Lysinibacillus,sp.
FSL L8-1374,1,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1375,1,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1376,1,,2,Sponge,,,,yes,CVTA,,,,Psychrobacter,sp.
FSL L8-1377,1,,2,Sponge,,,,yes,CVTA,,,,Pseudomonas,sp.
FSL L8-1378,1,,2,Sponge,,,,yes,SPC,,,,Microbacterium,sp.
FSL L8-1379,1,,2,Sponge,,,,yes,SPC,,,Bacillaceae,,
FSL L8-1380,1,,2,Sponge,,,,yes,SPC,,,Bacillaceae,,
FSL L8-1381,1,,2,Sponge,,,,yes,SPC,,,,Microbacterium,sp.
FSL L8-1382,1,,2,Sponge,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1383,1,,2,Sponge,,,,yes,SPC,,,,Curtobacterium,sp.
FSL L8-1384,1,,2,Sponge,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1385,1,,2,Sponge,,,,yes,SPC,,,,Pseudomonas,sp.
FSL L8-1386,1,,2,Sponge,,,,yes,SPC,,,Bacillaceae,,
FSL L8-1387,1,,2,Sponge,,,,yes,SPC,,,,Psychrobacter,sp.
FSL L8-1388,1,,2,Sponge,,,,yes,SPC,,,,Microbacterium,sp.
FSL L8-1389,1,,2,Sponge,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1390,1,,2,Sponge,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1391,1,,2,Sponge,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1392,1,,2,Sponge,,,,yes,SPC,,,,Microbacterium,sp.
FSL L8-1393,1,,2,Carton,,,,yes,CVTA,,,Comamonadaceae,,
FSL L8-1394,1,,2,Carton,,,,yes,SPC,,,,Staphylococcus,sp.
FSL L8-1395,1,,2,Carton,,,,yes,SPC,,,,Staphylococcus,sp.
FSL L8-1396,1,,2,Carton,,,,yes,SPC,,,,Staphylococcus,sp.
FSL L8-1397,1,,2,Carton,,,,yes,SPC,,,Comamonadaceae,,
FSL L8-1398,2,,2,Milk,,,,yes,CVTA,,,,Paenibacillus,sp.
FSL L8-1399,2,,2,Milk,,,,yes,CVTA,,,,Paenibacillus,sp.
FSL L8-1400,2,,2,Milk,,,,yes,CVTA,,,,Paenibacillus,sp.
FSL L8-1401,2,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1402,2,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1403,2,,2,Milk,,,,yes,SPC,,,,Lysinibacillus,sp.
FSL L8-1404,2,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1405,2,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1406,2,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1407,2,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1408,2,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1409,2,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1410,2,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1411,2,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1412,2,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1413,2,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1414,2,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1415,2,,2,Milk,,,,yes,SPC,,,,Lysinibacillus,sp.
FSL L8-1416,2,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1417,2,,2,Sponge,,,,yes,CVTA,,,,Enterococcus,sp.
FSL L8-1418,2,,2,Sponge,,,,yes,CVTA,,,,Stenotrophomonas,sp.
FSL L8-1419,2,,2,Sponge,,,,yes,SPC,,,,Microbacterium,sp.
FSL L8-1420,2,,2,Sponge,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1421,2,,2,Sponge,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1422,2,,2,Sponge,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1423,2,,2,Sponge,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1424,2,,2,Sponge,,,,yes,SPC,,,,Microbacterium,sp.
FSL L8-1425,2,,2,Sponge,,,,yes,SPC,,,,Aureimonas,sp.
FSL L8-1426,2,,2,Sponge,,,,yes,SPC,,,,Microbacterium,sp.
FSL L8-1427,2,,2,Sponge,,,,yes,SPC,,,Bacillaceae,,
FSL L8-1428,2,,2,Sponge,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1429,2,,2,Sponge,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1430,2,,2,Sponge,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1431,2,,2,Sponge,,,,yes,SPC,,,,Microbacterium,sp.
FSL L8-1432,2,,2,Carton,,,,yes,CVTA,,,,Psychrobacter,sp.
FSL L8-1433,2,,2,Carton,,,,yes,SPC,,,,Psychrobacter,sp.
FSL L8-1434,2,,2,Carton,,,,yes,SPC,,,,Staphylococcus,sp.
FSL L8-1435,3,,2,Milk,,,,yes,CVTA,,,,Bacillus,sp.
FSL L8-1436,3,,2,Milk,,,,yes,CVTA,,,,Lysinibacillus,sp.
FSL L8-1437,3,,2,Milk,,,,yes,CVTA,,,,Paenibacillus,sp.
FSL L8-1438,3,,2,Milk,,,,yes,CVTA,,,,Bacillus,sp.
FSL L8-1439,3,,2,Milk,,,,yes,CVTA,,,,Paenibacillus,sp.
FSL L8-1440,3,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1441,3,,2,Milk,,,,yes,SPC,,,,Lysinibacillus,sp.
FSL L8-1442,3,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1443,3,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1444,3,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1445,3,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1446,3,,2,Milk,,,,yes,SPC,,,,Lysinibacillus,sp.
FSL L8-1447,3,,2,Milk,,,,yes,SPC,,,,,
FSL L8-1448,3,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1449,3,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1450,3,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1451,3,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1452,3,,2,Milk,,,,yes,SPC,,,,,
FSL L8-1453,3,,2,Sponge,,,,yes,CVTA,,,,Stenotrophomonas,sp.
FSL L8-1454,3,,2,Sponge,,,,yes,SPC,,,Microbacteriaceae,,
FSL L8-1455,3,,2,Sponge,,,,yes,SPC,,,,Microbacterium,sp.
FSL L8-1456,3,,2,Sponge,,,,yes,SPC,,,,,
FSL L8-1457,3,,2,Sponge,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1458,3,,2,Sponge,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1459,3,,2,Sponge,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1460,3,,2,Sponge,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1461,3,,2,Sponge,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1462,3,,2,Sponge,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1463,3,,2,Sponge,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1464,3,,2,Sponge,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1465,3,,2,Sponge,,,,yes,SPC,,,,Microbacterium,sp.
FSL L8-1466,3,,2,Sponge,,,,yes,SPC,,,Microbacteriaceae,,
FSL L8-1467,3,,2,Carton,,,,yes,SPC,,,,Staphylococcus,sp.
FSL L8-1468,4,,2,Milk,,,,yes,CVTA,,,,Paenibacillus,sp.
FSL L8-1469,4,,2,Milk,,,,yes,CVTA,,,,Paenibacillus,sp.
FSL L8-1470,4,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1471,4,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1472,4,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1473,4,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1474,4,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1475,4,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1476,4,,2,Milk,,,,yes,SPC,,,,Lysinibacillus,sp.
FSL L8-1477,4,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1478,4,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1479,4,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1480,4,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1481,4,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1482,4,,2,Milk,,,,yes,SPC,,,Bacillaceae,,
FSL L8-1483,4,,2,Milk,,,,yes,SPC,,,,Pseudomonas,sp.
FSL L8-1484,4,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1485,4,,2,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1486,4,,2,Sponge,,,,yes,CVTA,,,,Psychrobacter,sp.
FSL L8-1487,4,,2,Sponge,,,,yes,CVTA,,,,Psychrobacter,sp.
FSL L8-1488,4,,2,Sponge,,,,yes,CVTA,,,,Bacillus,sp.
FSL L8-1489,4,,2,Sponge,,,,yes,SPC,,,,Staphylococcus,sp.
FSL L8-1490,4,,2,Sponge,,,,yes,SPC,,,Staphylococcaceae,,
FSL L8-1491,4,,2,Sponge,,,,yes,SPC,,,,Psychrobacter,sp.
FSL L8-1492,4,,2,Sponge,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1493,4,,2,Sponge,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1494,4,,2,Sponge,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1495,4,,2,Sponge,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1496,4,,2,Sponge,,,,yes,SPC,,,,Acinetobacter,sp.
FSL L8-1497,4,,2,Sponge,,,,yes,SPC,,,,Microbacterium,sp.
FSL L8-1498,4,,2,Sponge,,,,yes,SPC,,,,Microbacterium,sp.
FSL L8-1499,4,,2,Sponge,,,,yes,SPC,,,Bacillaceae,,
FSL L8-1500,4,,2,Sponge,,,,yes,SPC,,,,Curtobacterium,sp.
FSL L8-1501,4,,2,Sponge,,,,yes,SPC,,,,Microbacterium,sp.
FSL L8-1502,4,,2,Sponge,,,,yes,SPC,,,,Microbacterium,sp.
FSL L8-1503,4,,2,Sponge,,,,yes,SPC,,,Microbacteriaceae,,
FSL L8-1504,4,,2,Carton,,,,yes,SPC,,,,Acinetobacter,sp.
FSL L8-1505,4,,2,Carton,,,,yes,SPC,,,,Staphylococcus,sp.
FSL L8-1506,4,,2,Carton,,,,yes,SPC,,,,Staphylococcus,sp.
FSL L8-1507,,,2,MandrelHub,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1508,,,2,MandrelHub,,,,yes,SPC,,,,Microbacterium,sp.
FSL L8-1509,,,2,MandrelHub,,,,yes,SPC,,,,Curtobacterium,sp.
FSL L8-1510,,,2,MandrelHub,,,,yes,SPC,,,Bacillaceae,,
FSL L8-1511,1,,2,Milk,,,,no,SPC,,,,Bacillus,sp.
FSL L8-1512,1,,2,Milk,,,,no,SPC,,,,Bacillus,sp.
FSL L8-1513,1,,2,Milk,,,,no,SPC,,,,Bacillus,sp.
FSL L8-1514,1,,2,Milk,,,,no,SPC,,,,Bacillus,sp.
FSL L8-1515,1,,2,Sponge,,,,no,SPC,,,,Curtobacterium,sp.
FSL L8-1516,1,,2,Sponge,,,,no,SPC,,,,Bacillus,sp.
FSL L8-1517,2,,2,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-1518,2,,2,Milk,,,,no,SPC,,,,Bacillus,sp.
FSL L8-1519,2,,2,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-1520,2,,2,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-1521,2,,2,Milk,,,,no,SPC,,,,Bacillus,sp.
FSL L8-1522,2,,2,Milk,,,,no,SPC,,,,Bacillus,sp.
FSL L8-1523,2,,2,Milk,,,,no,SPC,,,,Bacillus,sp.
FSL L8-1524,2,,2,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-1525,2,,2,Milk,,,,no,SPC,,,,Bacillus,sp.
FSL L8-1526,2,,2,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-1527,2,,2,Milk,,,,no,SPC,,,,Bacillus,sp.
FSL L8-1528,2,,2,Milk,,,,no,SPC,,,,Bacillus,sp.
FSL L8-1529,2,,2,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-1530,2,,2,Milk,,,,no,SPC,,,,Bacillus,sp.
FSL L8-1531,2,,2,Sponge,,,,no,SPC,,,,Curtobacterium,sp.
FSL L8-1532,2,,2,Sponge,,,,no,SPC,,,,Bacillus,sp.
FSL L8-1533,3,,2,Milk,,,,no,SPC,,,,Bacillus,sp.
FSL L8-1534,3,,2,Milk,,,,no,SPC,,,,Bacillus,sp.
FSL L8-1535,3,,2,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-1536,3,,2,Milk,,,,no,SPC,,,,,
FSL L8-1537,3,,2,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-1538,3,,2,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-1539,3,,2,Sponge,,,,no,SPC,,,,Bacillus,sp.
FSL L8-1540,3,,2,Sponge,,,,no,SPC,,,Microbacteriaceae,,
FSL L8-1541,3,,2,Sponge,,,,no,SPC,,,Microbacteriaceae,,
